condition,guidance_scale,smiling_success,bangs_success,hair_success,joint_success,num_samples
smiling_present,0,0.4453,,,0.4453,256
smiling_absent,0,0.5273,,,0.5273,256
bangs_present,0,,0.1680,,0.1680,256
bangs_absent,0,,0.8867,,0.8867,256
hair_black,0,,,0.3086,0.3086,256
hair_blond,0,,,0.0898,0.0898,256
hair_brown,0,,,0.2148,0.2148,256
smiling_no_bangs_blond,0,0.4688,0.8750,0.0820,0.0312,256
smiling_present,1,0.9297,,,0.9297,256
smiling_absent,1,0.8594,,,0.8594,256
bangs_present,1,,0.8242,,0.8242,256
bangs_absent,1,,0.9531,,0.9531,256
hair_black,1,,,0.7500,0.7500,256
hair_blond,1,,,0.7188,0.7188,256
hair_brown,1,,,0.5742,0.5742,256
smiling_no_bangs_blond,1,0.9375,0.9414,0.7539,0.6602,256
smiling_present,2,0.9961,,,0.9961,256
smiling_absent,2,0.9883,,,0.9883,256
bangs_present,2,,0.9688,,0.9688,256
bangs_absent,2,,1.0000,,1.0000,256
hair_black,2,,,0.9766,0.9766,256
hair_blond,2,,,0.9766,0.9766,256
hair_brown,2,,,0.8281,0.8281,256
smiling_no_bangs_blond,2,1.0000,0.9922,0.9531,0.9453,256
smiling_present,3,1.0000,,,1.0000,256
smiling_absent,3,0.9883,,,0.9883,256
bangs_present,3,,0.9844,,0.9844,256
bangs_absent,3,,1.0000,,1.0000,256
hair_black,3,,,0.9922,0.9922,256
hair_blond,3,,,1.0000,1.0000,256
hair_brown,3,,,0.9570,0.9570,256
smiling_no_bangs_blond,3,1.0000,1.0000,1.0000,1.0000,256

